,cmpdname,isosmiles,target
34,"(2R,3R)-2-methyl-1-(methylsulfonyl)piperidine-3-carbonitrile",C[C@@H]1[C@@H](CCCN1S(=O)(=O)C)C#N,1
35,unnamed,N#CC1C(=O)Nc2cccnc21,0
36,unnamed,CC12NC(=O)NC(=O)N1CCS2,0
37,"(2R)-2-(3,4-dihydroxyphenyl)-2-hydroxyethanaminium",C1=CC(=C(C=C1[C@H](C[NH3+])O)O)O,1
38,4-Acetylphenoxyacetic acid,CC(=O)C1=CC=C(C=C1)OCC(=O)O,1
39,Irbesartan,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,1
40,"2,4-Dioxaspiro[5.5]undec-8-ene, 3-(2-furanyl)-",C1CC2(CC=C1)COC(OC2)C3=CC=CO3,1
41,unnamed,CC1C(=O)C2C1CS2(=O)=O,0
42,unnamed,Oc1cc(O)c2ccccc2n1,0
43,unnamed,O=C(Nc1ccccc1)Nc1ccccn1,0
44,Quinolinic acid,C1=CC(=C(N=C1)C(=O)O)C(=O)O,1
45,2-cyclopropyl-1H-imidazole-4-carboxamide,C1CC1C2=NC=C(N2)C(=O)N,1
46,unnamed,CN(C)C(=N)NC(=S)N(C)C,0
47,unnamed,COC(=N)CCSSCCC(=N)OC,0
48,"2-Amino-4,6-dimethylpyrimidine",CC1=CC(=NC(=N1)N)C,1
49,unnamed,Nc1ncc(N)c(N)n1,0
50,unnamed,O=c1c(Cl)nsnc1Cl,0
51,"1-[4-(2,6-Difluorophenyl)sulfonylpiperazin-1-yl]ethanone",CC(=O)N1CCN(CC1)S(=O)(=O)C2=C(C=CC=C2F)F,1
52,(2R)-3-ammonio-2-methylpropanoate,C[C@H](C[NH3+])C(=O)[O-],1
53,unnamed,CNCS(=O)(=O)O,0
54,Orotidine 5'-phosphate(3-),C1=C(N(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])[O-])O)O)C(=O)[O-],1
55,"5,10-methylene-THF",C1[C@@H]2CN(CN2C3=C(N1)N=C(NC3=O)N)C4=CC=C(C=C4)C(=O)NC(CCC(=O)O)C(=O)O,1
56,Orotate,C1=C(NC(=O)NC1=O)C(=O)[O-],1
57,unnamed,CC(CCC(=O)O)CCC(=O)O,0
58,"3-(4,5-Dimethoxy-2-nitrophenyl)butan-2-yl 2-[[4-(3-azidopropoxy)-2,6-dimethylbenzoyl]amino]-3-[[2-[[3-(diaminomethylideneamino)benzoyl]amino]acetyl]amino]propanoate",CC1=CC(=CC(=C1C(=O)NC(CNC(=O)CNC(=O)C2=CC(=CC=C2)N=C(N)N)C(=O)OC(C)C(C)C3=CC(=C(C=C3[N+](=O)[O-])OC)OC)C)OCCCN=[N+]=[N-],1
59,unnamed,N=c1[nH]c2c(s1)CCC2,0
60,beta-L-Arabinose,C1[C@@H]([C@@H]([C@H]([C@H](O1)O)O)O)O,1
61,"4-(7H-pyrrolo[2,3-d]pyrimidin-4-yl)-1,4-oxazonane",C1CCN(CCOCC1)C2=NC=NC3=C2C=CN3,1
62,Unii-1EL1K52SH1,C1=C(C2=C(N1)C(=NC=N2)N)[C@H]3[C@@H]([C@@H]([C@H](N3)CO)O)O.Cl,1
63,"9Z,12Z-Octadecadienoic-9,10,12,13-D4acid",[2H]/C(=C(\\[2H])/C/C(=C(/[2H])\\CCCCCCCC(=O)O)/[2H])/CCCCC,1
64,unnamed,O=Nc1ccc(Br)cc1,0
65,Indole-3-acetic acid,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,1
66,unnamed,Fc1ccc(SC(CCl)CCl)cc1,0
67,unnamed,OCc1nnn(-c2ccccc2)c1CO,0
68,unnamed,O=Nc1ccccc1,0
69,Biotinate,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)[O-])NC(=O)N2,1
70,unnamed,CC1=CP(=O)(c2ccccc2)CC1,0
71,Clopidogrel,COC(=O)[C@H](C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3,1
72,Valine,CC(C)[C@@H](C(=O)O)N,1
73,Zinc sulfate,[O-]S(=O)(=O)[O-].[Zn+2],1
74,unnamed,O=C(O)C(O)C(O)C(=O)O,0
75,Linoleic acid,CCCCC/C=C\\C/C=C\\CCCCCCCC(=O)O,1
76,unnamed,CCOC(=N)N1CCCCC1,0
77,unnamed,NN1C(=O)CSC1=S,0
78,Saicar(4-),C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])[O-])O)O)N)C(=O)N[C@@H](CC(=O)[O-])C(=O)[O-],1
79,unnamed,O=Nc1c(O)nc2ccccc2c1O,0
80,unnamed,CC(=O)NCS(=O)(=O)O,0
81,unnamed,N#CCCN(CCO)CCO,0
82,unnamed,CCC(CC)(CC(=O)O)CC(=O)O,0
83,unnamed,Clc1nc(Cl)nc(NCCBr)n1,0
84,unnamed,C=C1C(=O)OC2C=CCCCC12,0
85,Ergocalciferol,C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]\\2[C@@]1(CCC/C2=C\\C=C/3\\C[C@H](CCC3=C)O)C,1
86,Chenodeoxyglycocholic acid,CC(CCC(=O)NCC(=O)O)C1CCC2[C@@]1(CCC3C2[C@@H](CC4[C@@]3(CC[C@H](C4)O)C)O)C,1
87,unnamed,C=CCn1nnc2ccccc2c1=O,0
88,unnamed,O=C(O)C1SCCCS1,0
89,unnamed,O=C(O)c1ccc(CI)cc1,0
90,unnamed,O=S1(=O)OC2CCCCC2O1,0
91,Naltrexone,C1CC1CN2CC[C@]34[C@@H]5C(=O)CC[C@]3([C@H]2CC6=C4C(=C(C=C6)O)O5)O,1
92,unnamed,CCCC(O)(CCC)C1=NCCN1,0
93,Rivaroxaban,C1COCC(=O)N1C2=CC=C(C=C2)N3C[C@@H](OC3=O)CNC(=O)C4=CC=C(S4)Cl,1
94,Amantadine hydrochloride,C1C2CC3CC1CC(C2)(C3)N.Cl,1
95,4-[(Methylsulfonyl)amino]benzoic acid,CS(=O)(=O)NC1=CC=C(C=C1)C(=O)O,1
96,Tanakan,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl.OP(=O)(O)O,1
97,Kaolin,O.O.O=[Al]O[Si](=O)O[Si](=O)O[Al]=O,1
98,3-sulfinato-L-alaninate(2-),C([C@@H](C(=O)[O-])N)S(=O)[O-],1
99,unnamed,CN(C)CC1C2C=CC(C2)C1CO,0
100,N-[(2S)-1-({(2S)-4-hydroxy-3-oxo-1-[(3S)-2-oxopyrrolidin-3-yl]butan-2-yl}amino)-4-methyl-1-oxopentan-2-yl]-4-methoxy-1H-indole-2-carboxamide,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)CO)NC(=O)C2=CC3=C(N2)C=CC=C3OC,1
101,N-[(3-acetamidophenyl)methyl]-1-[(1R)-1-naphthalen-1-ylethyl]piperidine-4-carboxamide,C[C@H](C1=CC=CC2=CC=CC=C21)N3CCC(CC3)C(=O)NCC4=CC(=CC=C4)NC(=O)C,1
102,Bemcentinib,C1CCN(C1)[C@H]2CCC3=C(CC2)C=C(C=C3)NC4=NN(C(=N4)N)C5=NN=C6C(=C5)CCCC7=CC=CC=C76,1
103,3-ketohexacosanoyl-CoA(4-),CCCCCCCCCCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,1
104,"[(1R,3R)-4-[(15Z,17E)-16-formyl-18-(4-hydroxy-2,2,6,6-tetramethylcyclohexyl)-3,7,12-trimethyl-14-oxooctadeca-2,4,6,8,10,12,15,17-octaenylidene]-3-hydroxy-3,5,5-trimethylcyclohexyl] acetate",CC(=CC=CC(=CC=C1[C@](C[C@@H](CC1(C)C)OC(=O)C)(C)O)C)C=CC=CC(=CC(=O)/C=C(/C=C/C2C(CC(CC2(C)C)O)(C)C)\\C=O)C,1
105,unnamed,O=C(O)CCCCSCCCCC(=O)O,0
106,Azithromycin dihydrate,CC[C@@H]1[C@@]([C@@H]([C@H](N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O.O.O,1
107,6-methyl-1H-indole-3-carboxylic acid,CC1=CC2=C(C=C1)C(=CN2)C(=O)O,1
108,unnamed,Nc1nc(N)c2cc(Cl)ccc2n1,0
109,1-(4-(2-Nitrophenyl)piperazin-1-yl)ethanone,CC(=O)N1CCN(CC1)C2=CC=CC=C2[N+](=O)[O-],1
110,unnamed,CCCC1OP(N)(=O)OCC1CC,0
111,(2~{S})-2-azanyl-5-oxidanylidene-5-[[(2~{S})-1-oxidanylidene-1-[(2-oxidanylidene-2-propan-2-yloxy-ethyl)amino]-3-sulfanyl-propan-2-yl]amino]pentanoic acid,CC(C)OC(=O)CNC(=O)[C@@H](CS)NC(=O)CC[C@@H](C(=O)O)N,1
112,unnamed,Cc1c(C#N)c2n(c1C)CCN2,0
113,unnamed,O=C1OC2CCCC1O2,0
114,unnamed,CC(=O)NC=Cc1cc(O)ccc1O,0
115,Choline C-11,C[N+](C)([11CH3])CCO,1
116,Brequinar,CC1=C(C2=C(C=CC(=C2)F)N=C1C3=CC=C(C=C3)C4=CC=CC=C4F)C(=O)O,1
117,"2,6-Dichlorophenylacetic acid",C1=CC(=C(C(=C1)Cl)CC(=O)O)Cl,1
118,unnamed,Cn1cnc([N+](=O)[O-])c1S,0
119,unnamed,O=C1c2ccccc2SCC2CCCN12,0
120,unnamed,COC(=O)C(N=O)C(=O)OC,0
121,Hexadecanal,CCCCCCCCCCCCCCCC=O,1
122,dTTP trianion,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)([O-])OP(=O)([O-])OP(=O)(O)[O-])O,1
123,Arformoterol,C[C@H](CC1=CC=C(C=C1)OC)NC[C@@H](C2=CC(=C(C=C2)O)NC=O)O,1
124,unnamed,CC1CC(=O)Nc2ccccc2N1,0
125,unnamed,CCCCOC(=S)SSC(=S)OCCCC,0
126,unnamed,c1ccc2c(c1)SCCc1nncn1-2,0
127,unnamed,CNC(C)C(NC)c1ccccc1.Cl,0
128,Fluticasone,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)SCF)O)C)O)F)C)F,1
129,AICA ribonucleotide,C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)N)C(=O)N,1
130,Etoposide,C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,1
131,unnamed,Nc1nnnc2[nH]cnc12,0
132,unnamed,Brc1cnc2nsnc2c1,0
133,CMP-N-acetyl-beta-neuraminate(2-),CC(=O)N[C@@H]1[C@H](C[C@](O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)[O-])OP(=O)([O-])OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=NC3=O)N)O)O)O,1
134,Famotidine,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,1
135,Zincacetate,CC(=O)O.CC(=O)O.[Zn],1
136,Butyl N-[3-[4-(imidazol-1-ylmethyl)phenyl]-5-(2-methylpropyl)thiophen-2-yl]sulfonylcarbamate,CCCCOC(=O)NS(=O)(=O)C1=C(C=C(S1)CC(C)C)C2=CC=C(C=C2)CN3C=CN=C3,1
137,N-Acetyl-D-Mannosamine,CC(=O)N[C@H]1[C@H]([C@@H]([C@H](OC1O)CO)O)O,1
138,unnamed,O=C1CCCCCN1c1ccccn1,0
139,unnamed,O=Nc1ccc2ccccc2c1O,0
140,coenzyme B12,CC1=CC2=C(C=C1C)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)([O-])O[C@@H](C)CNC(=O)CC[C@]\\4([C@H]([C@@H]5[C@]6([C@@]([C@@H](C(=N6)/C(=C\\7/[C@@]([C@@H](C(=N7)/C=C\\8/C([C@@H](C(=N8)/C(=C4\\[N-]5)/C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)/C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[CH2-][C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O.[Co],1
141,"1-[(2R)-2-hydroxypropyl]-3-[[(2R)-oxiran-2-yl]methyl]-5-[[(2S)-oxiran-2-yl]methyl]-1,3,5-triazinane-2,4,6-trione",C[C@H](CN1C(=O)N(C(=O)N(C1=O)C[C@@H]2CO2)C[C@H]3CO3)O,1
142,Tryptaminium,C1=CC=C2C(=C1)C(=CN2)CC[NH3+],1
143,3-phosphonato-D-glycerate(3-),C([C@H](C(=O)[O-])O)OP(=O)([O-])[O-],1
144,"L-2,3-Diaminopropionic acid",C([C@@H](C(=O)O)N)N,1
145,unnamed,CC(C)CCS(=O)(=O)O,0
146,Pitavastatin,C1CC1C2=NC3=CC=CC=C3C(=C2/C=C/[C@H](C[C@H](CC(=O)O)O)O)C4=CC=C(C=C4)F,1
147,alpha-D-mannose 1-phosphate(2-),C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)OP(=O)([O-])[O-])O)O)O)O,1
148,Uridine-5'-diphosphate-glucose,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,1
149,unnamed,CC12CCCC(O)C1CC(CO)CC2,0
150,unnamed,C1CN(N=NN2CCOCC2)CCO1,0
151,unnamed,CCOc1ccc(N=O)c(O)c1,0
152,2-(4-Acetylpiperazin-1-yl)sulfonylbenzonitrile,CC(=O)N1CCN(CC1)S(=O)(=O)C2=CC=CC=C2C#N,1
153,5-Amino-2-methyloxazole-4-carbonitrile,CC1=NC(=C(O1)N)C#N,1
154,unnamed,CC1(C)COC2(C)ON12,0
155,Creatinine,CN1CC(=O)N=C1N,1
156,Chlorhexidine gluconate,C1=CC(=CC=C1N/C(=N/C(=NCCCCCCN=C(/N=C(/NC2=CC=C(C=C2)Cl)\\N)N)N)/N)Cl.C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O.C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O,1
157,unnamed,O=S(=O)(CCCCl)SCCCCl,0
158,1-[(2R)-2-(4-fluorophenyl)morpholin-4-yl]ethanone,CC(=O)N1CCO[C@@H](C1)C2=CC=C(C=C2)F,1
159,2-Chloroisonicotinamide,C1=CN=C(C=C1C(=O)N)Cl,1
160,Zinc Picolinate,C1=CC=NC(=C1)C(=O)[O-].C1=CC=NC(=C1)C(=O)[O-].[Zn+2],1
161,unnamed,N=C(OC1CCCCC1)N1CCCC1,0
162,unnamed,Oc1ncnc2[nH]ncc12,0
163,unnamed,O=c1c2ccccc2oc2ccccc12,0
164,5-Methoxyindole-3-acetic acid,COC1=CC2=C(C=C1)NC=C2CC(=O)O,1
165,unnamed,C=CC(C)NC(=S)NNC(=S)NC,0
166,unnamed,O=C1CCSC(=O)N1c1ccccc1,0
167,acryloyl-CoA(4-),CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])[C@H](C(=O)NCCC(=O)NCCSC(=O)C=C)O,1
168,unnamed,Cc1n[nH]c2c1NC(=O)OCC2,0
169,unnamed,C=CCC(C=C=CCN(C)C)CO,0
170,unnamed,N[Ru-4](N)(N)(Cl)(Cl)Cl,0
171,unnamed,OC1COC2C(O)COC12,0
172,unnamed,S=C1NCCNC(=S)SS1,0
173,unnamed,c1ccc2c(N3CC3)nncc2c1,0
174,5-[(azetidin-3-yl)amino]-2-methyl-N-[(1R)-1-(3-{5-[(pyrrolidin-1-yl)methyl]thiophen-2-yl}phenyl)ethyl]benzamide,CC1=C(C=C(C=C1)NC2CNC2)C(=O)N[C@H](C)C3=CC=CC(=C3)C4=CC=C(S4)CN5CCCC5,1
175,Aliskiren,CC(C)[C@@H](CC1=CC(=C(C=C1)OC)OCCCOC)C[C@@H]([C@H](C[C@@H](C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N,1
176,unnamed,Oc1ccc(Nc2ccccc2)cc1,0
177,unnamed,Oc1nnc(O)c2ncccc12,0
178,Rabeximod,CC1=CC2=C(C=C1C)N=C3C(=N2)C4=C(N3CC(=O)NCCN(C)C)C=CC(=C4)Cl,1
179,Razuprotafib,COC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC2=CC=C(C=C2)NS(=O)(=O)O)C3=CSC(=N3)C4=CC=CS4,1
180,2-methylacetoacetyl-CoA(4-),CC(C(=O)C)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O,1
181,"D-fructofuranose 1,6-bisphosphate(4-)",C([C@@H]1[C@H]([C@@H](C(O1)(COP(=O)([O-])[O-])O)O)O)OP(=O)([O-])[O-],1
182,unnamed,C1=CNc2ccccc2N=C1,0
183,Serotonin(1+),C1=CC2=C(C=C1O)C(=CN2)CC[NH3+],1
184,unnamed,NC(Cc1ccc[se]1)C(=O)O,0
185,Glucose 1-phosphate,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)OP(=O)(O)O)O)O)O)O,1
186,Dexamethasone 21-phosphate disodium salt,CC.C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COP(=O)(O)O)O)C)O)F)C.[Na].[Na],1
187,unnamed,Cc1ccc(SSCCN)cc1,0
188,unnamed,OCCN1c2ccccc2Sc2ccccc21,0
189,unnamed,CN(C)P(=O)(N(C)C)N(C)C,0
190,unnamed,CCOC(=N)CNC(=O)c1ccccc1,0
191,Aviptadil Acetate,CC(C)CC(C(=O)NC(CC1=CC=CC=C1)C(=O)NC(C(C)O)C(=O)NC(CC(=O)O)C(=O)NC(C(C)O)C(=O)NC(CC2=CC=C(C=C2)O)C(=O)NC(C(C)O)C(=O)NC(CCCNC(=N)N)C(=O)NC(CC(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)NC(CCC(=O)N)C(=O)NC(CCSC)C(=O)NC(C)C(=O)NC(CCSC)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CC3=CC=C(C=C3)O)C(=O)NC(CC(C)C)C(=O)NC(CC(=O)N)C(=O)NC(CO)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(CC(=O)N)C(=O)N)NC(=O)C(C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(CC4=CNC=N4)N,1
192,unnamed,C[Ga](C)n1cccn1,0
193,Normosang,CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C=C)C)C(=C4C)C=C)C(=C3CCC(=O)O)C)CCC(=O)O.C(C[C@@H](C(=O)O)N)CN=C(N)N.[Fe+2],1
194,Amoxicillin,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,1
195,4-Methyl-2-oxopentanoate,CC(C)CC(=O)C(=O)[O-],1
196,unnamed,CCCCCCCCCCOC(=O)NCCC,0
197,unnamed,CCCCOC(=O)c1ccc(N)cc1,0
198,N-[(Benzyloxy)carbonyl]-L-Leucyl-N-[(2s)-1-Hydroxy-4-Methylpentan-2-Yl]-L-Leucinamide,CC(C)C[C@@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCC1=CC=CC=C1,1
199,unnamed,Cn1c(=O)oc(=O)c2ccccc21,0
200,unnamed,Clc1ccc(SSc2ccccc2)cc1,0
201,Indole-2-carboxylic acid,C1=CC=C2C(=C1)C=C(N2)C(=O)O,1
202,Dihydroneopterin triphosphate,C1C(=NC2=C(N1)N=C(NC2=O)N)[C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,1
203,unnamed,NC(=O)ON=Cc1ccccn1,0
204,Choline Alfoscerate,C[N+](C)(C)CCOP(=O)([O-])OC[C@@H](CO)O,1
205,5-Formimidoyltetrahydrofolate(2-),C1[C@@H](N(C2=C(N1)N=C(NC2=O)N)C=N)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-],1
206,unnamed,Clc1cnnc2[nH]cnc12,0
207,Sulfamethoxazole and trimethoprim,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N.COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,1
208,"N-[(3S)-1,1-dioxo-2,3-dihydrothiophen-3-yl]-N-phenylacetamide",CC(=O)N([C@@H]1CS(=O)(=O)C=C1)C2=CC=CC=C2,1
209,unnamed,NNc1ncnc2cccc(Cl)c12,0
210,"S-[2-[3-[[(2R)-4-[[[(2R,4S,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 4-hydroxybenzenecarbothioate",CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1C([C@@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)C4=CC=C(C=C4)O)O,1
211,Myo-inositol hexakisphosphate(12-),C1(C(C(C(C(C1OP(=O)([O-])[O-])OP(=O)([O-])[O-])OP(=O)([O-])[O-])OP(=O)([O-])[O-])OP(=O)([O-])[O-])OP(=O)([O-])[O-],1
212,unnamed,CC12CCCC(C#N)(C1)OC2=O,0
213,1-[4-(Methylsulfonyl)phenyl]piperazine,CS(=O)(=O)C1=CC=C(C=C1)N2CCNCC2,1
214,Dexmedetomidine,CC1=C(C(=CC=C1)[C@H](C)C2=CN=CN2)C,1
215,unnamed,CN(C)CC1CCCC1=O.Cl,0
216,2-fluoro-N-[2-(pyridin-4-yl)ethyl]benzamide,C1=CC=C(C(=C1)C(=O)NCCC2=CC=NC=C2)F,1
217,unnamed,Nc1cnnc(S)c1S,0
218,unnamed,NC1(CSS(=O)(=O)O)CCN1,0
219,Phosphonatoenolpyruvate,C=C(C(=O)[O-])OP(=O)([O-])[O-],1
220,unnamed,Oc1nnnc2ccccc12,0
221,coenzyme A,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O,1
222,unnamed,CCN(CC)CCC(=O)c1ccccc1,0
223,3'-O-phosphonatoadenosine,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)([O-])[O-])O)N,1
224,unnamed,Cc1cccnc1CC(O)c1ccccc1,0
225,unnamed,O=Nc1ccccc1C(=O)O,0
226,unnamed,CC1C(=O)NC(=O)NC1=O,0
